tadpole,pred,size,surv,propsurv,density
10,no,big,9,0.9,low
10,no,big,10,1,low
10,no,big,7,0.7,low
10,no,big,10,1,low
10,no,small,9,0.9,low
10,no,small,9,0.9,low
10,no,small,10,1,low
10,no,small,9,0.9,low
10,pred,big,4,0.4,low
10,pred,big,9,0.9,low
10,pred,big,7,0.7,low
10,pred,big,6,0.6,low
10,pred,small,7,0.7,low
10,pred,small,5,0.5,low
10,pred,small,9,0.9,low
10,pred,small,9,0.9,low
25,no,big,24,0.96,mid
25,no,big,23,0.92,mid
25,no,big,22,0.88,mid
25,no,big,25,1,mid
25,no,small,23,0.92,mid
25,no,small,23,0.92,mid
25,no,small,23,0.92,mid
25,no,small,21,0.84,mid
25,pred,big,6,0.24,mid
25,pred,big,13,0.52,mid
25,pred,big,4,0.16,mid
25,pred,big,9,0.36,mid
25,pred,small,13,0.52,mid
25,pred,small,20,0.8,mid
25,pred,small,8,0.32,mid
25,pred,small,10,0.4,mid
35,no,big,34,0.971428571428571,high
35,no,big,33,0.942857142857143,high
35,no,big,33,0.942857142857143,high
35,no,big,31,0.885714285714286,high
35,no,small,31,0.885714285714286,high
35,no,small,35,1,high
35,no,small,33,0.942857142857143,high
35,no,small,32,0.914285714285714,high
35,pred,big,4,0.114285714285714,high
35,pred,big,12,0.342857142857143,high
35,pred,big,13,0.371428571428571,high
35,pred,big,14,0.4,high
35,pred,small,22,0.628571428571429,high
35,pred,small,12,0.342857142857143,high
35,pred,small,31,0.885714285714286,high
35,pred,small,17,0.485714285714286,high
